"mass","svl","tl"
"1893",0.716,36,62
"1894",0.771,36,67
"1895",0.806,37,67
"1896",0.843,37,73
"1897",0.962,37,80
"1898",0.608,38,53
"1899",0.708,38,60
"1900",0.76,38,62
"1901",0.793,38,66
"1902",0.808,38,72
"1903",0.819,38,67
"1904",0.969,38,77
"1905",0.644,39,57
"1906",0.729,39,52
"1907",0.791,39,75
"1908",0.81,39,70
"1909",0.934,39,71
"1910",1.024,39,75
"1911",0.686,40,74
"1912",0.724,40,67
"1913",0.776,40,67
"1914",0.814,40,71
"1915",0.824,40,73
"1916",0.834,40,69
"1917",0.841,40,70
"1918",0.876,40,72
"1919",0.914,40,72
"1920",0.921,40,72
"1921",0.936,40,74
"1922",0.998,40,78
"1923",0.618,41,65
"1924",0.695,41,47
"1925",0.769,41,77
"1926",0.798,41,78
"1927",0.817,41,73
"1928",0.846,41,67
"1929",0.853,41,73
"1930",0.917,41,83
"1931",0.918,41,74
"1932",0.92,41,81
"1933",0.923,41,81
"1934",0.961,41,76
"1935",0.969,41,76
"1936",0.997,41,79
"1937",1.018,41,78
"1938",1.055,41,84
"1939",1.065,41,80
"1940",1.114,41,85
"1941",1.169,41,80
"1942",1.253,41,71
"1943",0.702,42,48
"1944",0.776,42,69
"1945",0.789,42,58
"1946",0.792,42,81
"1947",0.803,42,74
"1948",0.828,42,80
"1949",0.844,42,70
"1950",0.848,42,78
"1951",0.853,42,68
"1952",0.867,42,76
"1953",0.872,42,66
"1954",0.88,42,78
"1955",0.888,42,77
"1956",0.889,42,69
"1957",0.889,42,80
"1958",0.912,42,78
"1959",0.946,42,71
"1960",0.949,42,81
"1961",0.951,42,81
"1962",0.955,42,81
"1963",0.956,42,79
"1964",0.979,42,77
"1965",0.98,42,85
"1966",1.005,42,78
"1967",1.024,42,81
"1968",1.026,42,76
"1969",1.026,42,80
"1970",1.047,42,80
"1971",1.086,42,77
"1972",1.097,42,83
"1973",1.159,42,77
"1974",1.328,42,87
"1975",0.816,43,75
"1976",0.842,43,76
"1977",0.89,43,69
"1978",0.925,43,80
"1979",0.926,43,82
"1980",0.934,43,69
"1981",0.944,43,77
"1982",0.947,43,77
"1983",0.948,43,70
"1984",0.949,43,76
"1985",0.96,43,82
"1986",0.974,43,74
"1987",0.982,43,79
"1988",0.986,43,76
"1989",0.99,43,72
"1990",1.001,43,75
"1991",1.03,43,74
"1992",1.042,43,82
"1993",1.043,43,80
"1994",1.046,43,75
"1995",1.079,43,81
"1996",1.095,43,80
"1997",1.109,43,80
"1998",1.153,43,85
"1999",1.169,43,85
"2000",0.816,44,61
"2001",0.884,44,82
"2002",0.932,44,69
"2003",0.936,44,82
"2004",0.967,44,83
"2005",0.992,44,90
"2006",0.993,44,85
"2007",1.021,44,80
"2008",1.032,44,80
"2009",1.044,44,80
"2010",1.046,44,85
"2011",1.055,44,77
"2012",1.062,44,83
"2013",1.068,44,82
"2014",1.078,44,86
"2015",1.081,44,76
"2016",1.093,44,80
"2017",1.105,44,80
"2018",1.124,44,82
"2019",1.131,44,86
"2020",1.158,44,83
"2021",1.189,44,85
"2022",1.203,44,80
"2023",0.855,45,77
"2024",0.887,45,78
"2025",0.903,45,85
"2026",0.96,45,83
"2027",0.973,45,58
"2028",0.976,45,82
"2029",0.983,45,76
"2030",0.992,45,85
"2031",0.999,45,77
"2032",1.01,45,77
"2033",1.01,45,65
"2034",1.016,45,80
"2035",1.041,45,81
"2036",1.044,45,79
"2037",1.05,45,71
"2038",1.055,45,89
"2039",1.06,45,84
"2040",1.06,45,83
"2041",1.066,45,79
"2042",1.072,45,77
"2043",1.072,45,87
"2044",1.08,45,80
"2045",1.082,45,88
"2046",1.084,45,80
"2047",1.086,45,71
"2048",1.092,45,81
"2049",1.149,45,87
"2050",1.158,45,83
"2051",1.202,45,85
"2052",1.203,45,84
"2053",1.208,45,84
"2054",1.227,45,82
"2055",1.358,45,66
"2056",1.39,45,81
"2057",0.885,46,65
"2058",1.013,46,75
"2059",1.028,46,76
"2060",1.036,46,88
"2061",1.039,46,81
"2062",1.04,46,83
"2063",1.056,46,78
"2064",1.089,46,79
"2065",1.112,46,63
"2066",1.132,46,87
"2067",1.137,46,85
"2068",1.169,46,92
"2069",1.185,46,82
"2070",1.25,46,80
"2071",1.251,46,88
"2072",1.262,46,89
"2073",1.299,46,85
"2074",1.388,46,85
"2075",1.486,46,92
"2076",0.929,47,82
"2077",0.964,47,81
"2078",1.022,47,83
"2079",1.032,47,70
"2080",1.055,47,72
"2081",1.076,47,79
"2082",1.082,47,88
"2083",1.122,47,90
"2084",1.124,47,82
"2085",1.131,47,89
"2086",1.159,47,87
"2087",1.16,47,83
"2088",1.161,47,91
"2089",1.187,47,88
"2090",1.19,47,93
"2091",1.19,47,90
"2092",1.194,47,86
"2093",1.235,47,86
"2094",1.236,47,92
"2095",1.266,47,76
"2096",1.293,47,64
"2097",1.324,47,87
"2098",1.328,47,89
"2099",1.345,47,89
"2100",1.351,47,87
"2101",1.39,47,89
"2102",1.429,47,83
"2103",1.074,48,72
"2104",1.12,48,77
"2105",1.133,48,85
"2106",1.155,48,90
"2107",1.171,48,80
"2108",1.172,48,70
"2109",1.254,48,84
"2110",1.269,48,87
"2111",1.285,48,88
"2112",1.288,48,87
"2113",1.347,48,84
"2114",1.35,48,86
"2115",1.355,48,95
"2116",1.392,48,88
"2117",1.462,48,88
"2118",1.098,49,68
"2119",1.192,49,88
"2120",1.223,49,58
"2121",1.273,49,85
"2122",1.304,49,84
"2123",1.328,49,90
"2124",1.808,49,92
"2125",1.26,50,92
"2126",1.433,50,85
"2127",1.603,50,93
"2128",1.445,51,96
"2129",1.682,51,98
"2130",1.74,51,96
"2131",1.458,52,91
"2132",1.61,52,95
"2133",1.336,53,82
